01.q_-3.0/task.000/system.data (written by toolbox by Jia-Xin Zhu)

1160 atoms
8 atom types
239 bonds
1 bond types
0.0 16.869000 xlo xhi
0.0 14.609000 ylo yhi
0.0 41.478000 zlo zhi

Atoms

1 0 5 -0.0277777777777778 1.4056999683380127 0.8116000294685364 35.7389984130859375
2 0 5 -0.0277777777777778 4.2171998023986816 0.8116000294685364 35.7389984130859375
3 0 5 -0.0277777777777778 7.0285997390747070 0.8116000294685364 35.7389984130859375
4 0 5 -0.0277777777777778 9.8400993347167969 0.8116000294685364 35.7389984130859375
5 0 5 -0.0277777777777778 12.6515998840332031 0.8116000294685364 35.7389984130859375
6 0 5 -0.0277777777777778 15.4629993438720703 0.8116000294685364 35.7389984130859375
7 0 5 -0.0277777777777778 0.0000000000000000 3.2464001178741455 35.7389984130859375
8 0 5 -0.0277777777777778 2.8114998340606689 3.2464001178741455 35.7389984130859375
9 0 5 -0.0277777777777778 5.6229000091552734 3.2464001178741455 35.7389984130859375
10 0 5 -0.0277777777777778 8.4343996047973633 3.2464001178741455 35.7389984130859375
11 0 5 -0.0277777777777778 11.2458000183105469 3.2464001178741455 35.7389984130859375
12 0 5 -0.0277777777777778 14.0573005676269531 3.2464001178741455 35.7389984130859375
13 0 5 -0.0277777777777778 1.4056999683380127 5.6812000274658203 35.7389984130859375
14 0 5 -0.0277777777777778 4.2171998023986816 5.6812000274658203 35.7389984130859375
15 0 5 -0.0277777777777778 7.0285997390747070 5.6812000274658203 35.7389984130859375
16 0 5 -0.0277777777777778 9.8400993347167969 5.6812000274658203 35.7389984130859375
17 0 5 -0.0277777777777778 12.6515998840332031 5.6812000274658203 35.7389984130859375
18 0 5 -0.0277777777777778 15.4629993438720703 5.6812000274658203 35.7389984130859375
19 0 5 -0.0277777777777778 0.0000000000000000 8.1159992218017578 35.7389984130859375
20 0 5 -0.0277777777777778 2.8114998340606689 8.1159992218017578 35.7389984130859375
21 0 5 -0.0277777777777778 5.6229000091552734 8.1159992218017578 35.7389984130859375
22 0 5 -0.0277777777777778 8.4343996047973633 8.1159992218017578 35.7389984130859375
23 0 5 -0.0277777777777778 11.2458000183105469 8.1159992218017578 35.7389984130859375
24 0 5 -0.0277777777777778 14.0573005676269531 8.1159992218017578 35.7389984130859375
25 0 5 -0.0277777777777778 1.4056999683380127 10.5507993698120117 35.7389984130859375
26 0 5 -0.0277777777777778 4.2171998023986816 10.5507993698120117 35.7389984130859375
